IDX,X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
10320,37.6635660,55.7854390,1,80,1,320
10322,37.6633550,55.7853970,1,80,1,140
10327,37.5712148,55.7893503,1,60,1,38
10329,37.4993250,55.8175842,1,80,1,335
10334,37.6905500,55.7473500,1,60,1,265
10336,37.6499900,55.8286400,1,60,1,30
10338,37.5935614,55.7874337,1,60,1,332
10340,37.5931800,55.7874200,1,60,1,150
10342,37.5435180,55.7318470,1,80,1,155
10344,37.5434480,55.7331480,1,80,1,340
10347,37.5374400,55.7554000,1,60,1,75
10349,37.4897600,55.6925900,1,60,1,45
10351,37.5613800,55.7201400,1,80,1,118
10353,37.5687257,55.7846166,1,60,1,310
10355,37.5650700,55.7191400,1,80,1,299
10357,37.5311315,55.7098402,1,60,1,315
10359,37.6563700,55.7908200,1,80,1,145
10361,37.5747276,55.7818090,1,60,1,310
10368,37.5338529,55.3753329,1,60,1,13
10374,37.5333000,55.7445000,1,80,1,172
10377,37.6978700,55.7382500,1,80,1,340
10379,37.6976201,55.7382502,1,80,1,175
10388,37.7172208,55.8756999,1,80,1,214
10392,37.5675024,55.8477081,1,60,1,166
10394,37.9916690,55.8672540,1,60,1,20
10404,37.5721991,55.7197514,1,60,1,38
10406,37.6783979,55.7158257,1,60,1,336
10407,37.3574142,55.8552913,1,60,1,310
10408,37.3874127,55.8355695,1,60,1,177
10410,37.4809846,55.8118809,1,80,1,290
10417,37.3797518,55.8442988,1,60,1,313
10418,37.3746466,55.8468769,1,60,1,312
10420,37.5916934,55.7087391,1,60,1,45
10423,37.4507300,55.7505200,1,50,2,67
10425,37.6195900,55.6335500,1,80,1,180
10426,37.6203380,55.7298200,1,60,1,265
10427,37.5373630,55.7133610,1,60,1,335
10428,37.5382000,55.7113000,1,60,1,156
10433,37.5339000,55.7436000,1,60,1,346
10435,37.1833800,55.9880800,1,60,1,28
10436,37.1871388,55.9925184,1,60,1,208
10437,37.1971512,56.0035346,1,60,1,27
10438,37.2113507,55.9979803,1,60,1,343
10439,37.2108389,55.9981967,1,60,1,160
10441,37.4816290,55.8115190,1,80,1,110
10442,37.3797828,55.8440965,1,60,1,132
10443,37.6965100,55.7223800,1,80,1,310
10444,37.1283901,55.8716590,1,60,1,315
10445,37.5552890,55.7707150,1,80,1,170
10446,38.1204300,55.9824900,1,60,1,45
10448,37.7914775,55.7176203,1,60,1,286
10449,37.5277756,55.7383032,1,80,1,70
10450,37.7460290,55.6451000,1,60,1,348
10455,37.5282194,55.6455667,1,60,1,210
10457,37.6675181,55.7801374,1,60,2,50
10461,37.5839722,55.7983898,1,60,2,175
10462,37.5727200,55.8241200,1,60,1,180
10463,37.5902760,55.7901950,1,60,1,150
10464,37.2786037,55.9865330,1,60,1,305
10472,37.4298000,55.8254000,1,60,1,112
10498,37.6079302,55.7013637,1,80,1,265
10501,37.7585317,55.9023464,1,60,1,220
10505,37.6014010,55.5936230,1,80,1,15
10510,37.3905830,55.8151100,1,100,1,10
10511,37.3890140,55.8113290,1,100,1,190
10517,37.6498172,55.8290698,1,60,2,210
10519,37.4306561,55.7725984,1,60,1,82
10522,37.5655370,55.7381880,1,60,1,210
10524,37.4661007,55.6331457,1,100,1,145
10527,37.6076670,55.5754516,1,100,1,275
10529,37.6120140,55.5750310,1,100,1,96
10531,37.5356890,55.7983340,1,60,1,130
10533,37.3932789,55.7063409,1,100,1,323
10534,37.7596696,55.6054270,1,100,1,225
10535,37.4636877,55.6356365,1,100,1,325
10536,37.7629205,55.6069211,1,100,1,45
10537,37.8367654,55.6712219,1,100,1,347
10538,37.8370550,55.6692937,1,100,1,167
10539,37.4814424,55.6807681,1,60,1,163
10549,37.4028088,55.6987693,1,100,1,145
10555,37.5034863,55.6671347,1,60,1,125
10557,37.5154100,55.6591700,1,60,1,290
10559,37.5315744,55.7085153,1,60,1,136
10561,37.8397358,55.8027198,1,100,1,175
10563,37.6938858,55.8946737,1,100,1,280
10567,37.6978821,55.8940057,1,100,1,100
10569,37.5198255,55.7178523,1,60,1,45
10571,37.6217633,55.7094311,1,60,1,10
10576,37.6031274,55.5980139,1,60,1,195
10579,37.8398180,55.8057340,1,100,1,355
10581,37.4942178,55.8909244,1,100,1,53
10583,37.4786207,55.8862404,1,100,1,245
10587,37.4148250,55.6604080,1,60,1,265
10590,37.5677494,55.7844735,1,60,1,129
10594,37.4902841,55.7729643,1,60,1,285
10606,37.5850760,55.7209670,1,60,1,210
10608,37.6164140,55.7410480,1,60,1,160
10610,37.5694740,55.7619560,1,60,1,285
10611,37.5785000,55.6993020,1,60,1,10
10612,37.6223200,55.7919200,1,60,1,175
10613,37.5490800,55.6858500,1,60,1,135
10614,37.5233140,55.7680970,1,60,1,282
10617,37.5449510,55.7942220,1,60,1,130
10629,37.4976575,55.8188578,1,80,1,156
10635,37.7038500,55.7188100,1,80,1,133
10637,37.7689856,55.7615358,1,60,1,71
10646,37.6617586,55.7294091,1,60,1,345
10647,37.5685510,55.7837680,1,60,1,130
10668,37.3836424,55.8422981,1,60,1,325
10669,37.3761966,55.8457540,1,60,1,133
10670,37.3642295,55.8516699,1,60,1,133
10671,37.3651459,55.8515332,1,60,1,310
10672,37.3876400,55.8366400,1,60,1,355
10674,37.4363453,55.8239604,1,60,1,293
10675,37.4877652,55.8105122,1,80,1,290
10676,37.4869067,55.8104889,1,0,1,110
10677,37.4607500,55.8170989,1,80,1,296
10678,37.4639690,55.8159017,1,0,1,120
10680,37.4454400,55.8213330,1,60,1,117
10681,37.6379614,55.8146632,1,60,1,190
10686,37.4431167,55.6671500,1,60,1,37
10693,37.3908500,55.6537670,1,60,1,230
10694,37.3925330,55.6541170,1,60,1,60
10695,37.3660830,55.6463670,1,60,1,225
